"date","ozone","temp","pressure","month","weekday"
2021-01-01,0.019,42,1006.8,1,6
2021-01-02,0.02,35,1002.6,1,7
2021-01-03,0.026,34,1002.1,1,1
2021-01-04,0.022,44,1001.8,1,2
2021-01-05,0.028,37,1008.8,1,3
2021-01-06,0.027,38,1012.1,1,4
2021-01-07,0.029,39,1009.8,1,5
2021-01-08,0.031,35,1007.3,1,6
2021-01-09,0.032,32,1011.7,1,7
2021-01-10,0.032,29,1013.5,1,1
2021-01-11,0.023,26,1013.1,1,2
2021-01-12,0.022,41,1009.7,1,3
2021-01-13,0.029,45,1003,1,4
2021-01-14,0.026,46,991.7,1,5
2021-01-15,0.029,36,986.9,1,6
2021-01-16,0.021,34,993.9,1,7
2021-01-17,0.024,33,994.9,1,1
2021-01-18,0.03,40,1004,1,2
2021-01-19,0.033,40,1009.7,1,3
2021-01-20,0.03,37,1011.8,1,4
2021-01-21,0.032,49,998.1,1,5
2021-01-22,0.031,34,1010.5,1,6
2021-01-23,0.031,37,1013.9,1,7
2021-01-24,0.023,35,1005.1,1,1
2021-01-25,0.019,35,1002.3,1,2
2021-01-26,0.026,38,1005.2,1,3
2021-01-27,0.029,30,1016.4,1,4
2021-01-28,0.031,25,1023.1,1,5
2021-01-29,0.033,32,1017.5,1,6
2021-01-30,0.029,36,1007.3,1,7
2021-01-31,0.037,37,1000.6,1,1
2021-02-01,0.04,32,1008,2,2
2021-02-02,0.037,34,1008.5,2,3
2021-02-03,0.033,37,1006.9,2,4
2021-02-04,0.03,38,999.4,2,5
2021-02-05,0.033,35,998.7,2,6
2021-02-06,0.035,29,1005.2,2,7
2021-02-07,0.032,16,1010.5,2,1
2021-02-08,0.025,23,1009.9,2,2
2021-02-09,0.029,23,1012,2,3
2021-02-10,0.039,23,1011.3,2,4
2021-02-11,0.041,24,1011.3,2,5
2021-02-12,0.036,23,1011.3,2,6
2021-02-13,0.031,20,1012,2,7
2021-02-14,0.03,14,1015,2,1
2021-02-15,0.032,13,1012.6,2,2
2021-02-16,0.033,14,1010.6,2,3
2021-02-17,0.035,22,1013.7,2,4
2021-02-18,0.044,23,1012.4,2,5
2021-02-19,0.047,23,1013.3,2,6
2021-02-20,0.055,30,1013.9,2,7
2021-02-21,0.051,42,1011.8,2,1
2021-02-22,0.048,41,1000,2,2
2021-02-23,0.04,53,998.9,2,3
2021-02-24,0.041,57,1008.2,2,4
2021-02-25,0.04,46,1013.1,2,5
2021-02-26,0.036,49,1010.4,2,6
2021-02-27,0.036,56,1003.3,2,7
2021-02-28,0.034,59,1000.1,2,1
2021-03-01,0.037,43,1013.2,3,2
2021-03-02,0.036,45,1012.9,3,3
2021-03-03,0.044,60,1003.4,3,4
2021-03-04,0.041,53,1010,3,5
2021-03-05,0.039,48,1012.6,3,6
2021-03-06,0.045,50,1013,3,7
2021-03-07,0.044,55,1015.3,3,1
2021-03-08,0.049,65,1014.4,3,2
2021-03-09,0.057,68,1012.1,3,3
2021-03-10,0.046,66,1005.4,3,4
2021-03-11,0.035,63,1008.6,3,5
2021-03-12,0.041,58,1014.2,3,6
2021-03-13,0.041,54,1015.3,3,7
2021-03-14,0.037,51,1010.6,3,1
2021-03-15,0.036,45,1005.5,3,2
2021-03-16,0.031,48,1000.5,3,3
2021-03-17,0.027,58,1000.3,3,4
2021-03-18,0.036,54,1004.5,3,5
2021-03-19,0.041,52,1015.3,3,6
2021-03-20,0.044,59,1017.6,3,7
2021-03-21,0.048,65,1012.8,3,1
2021-03-22,0.05,65,1006.1,3,2
2021-03-23,0.041,66,999.4,3,3
2021-03-24,0.044,69,997.5,3,4
2021-03-25,0.032,57,997.4,3,5
2021-03-26,0.027,53,1003.7,3,6
2021-03-27,0.048,74,1002.4,3,7
2021-03-28,0.039,53,1007.6,3,1
2021-03-29,0.047,60,1008.4,3,2
2021-03-30,0.048,71,1000.3,3,3
2021-03-31,0.043,49,1012.3,3,4
2021-04-01,0.041,41,1017,4,5
2021-04-02,0.045,48,1019.6,4,6
2021-04-03,0.05,66,1012.7,4,7
2021-04-04,0.057,73,1007.3,4,1
2021-04-05,0.056,76,1002.9,4,2
2021-04-06,0.051,79,999.9,4,3
2021-04-07,0.039,81,997,4,4
2021-04-08,0.036,66,990,4,5
2021-04-09,0.054,79,992.4,4,6
2021-04-10,0.039,64,991.4,4,7
2021-04-11,0.026,50,988.6,4,1
2021-04-12,0.045,64,1001.1,4,2
2021-04-13,0.041,62,1005.6,4,3
2021-04-14,0.043,59,1005.9,4,4
2021-04-15,0.032,57,1002.8,4,5
2021-04-16,0.04,59,1000.8,4,6
2021-04-17,0.041,59,998.7,4,7
2021-04-18,0.046,61,998.9,4,1
2021-04-19,0.05,67,1000.8,4,2
2021-04-20,0.029,45,1004.1,4,3
2021-04-21,0.043,48,1006.5,4,4
2021-04-22,0.05,53,1007.4,4,5
2021-04-23,0.049,59,1005,4,6
2021-04-24,0.042,56,997.5,4,7
2021-04-25,0.04,62,1003.4,4,1
2021-04-26,0.055,77,1002.4,4,2
2021-04-27,0.057,82,996.9,4,3
2021-04-28,0.024,71,998.7,4,4
2021-04-29,0.041,65,1000.2,4,5
2021-04-30,0.051,69,1006.6,4,6
2021-05-01,0.053,75,1005.8,5,7
2021-05-02,0.043,74,994.7,5,1
2021-05-03,0.033,73,989.1,5,2
2021-05-04,0.023,65,997.3,5,3
2021-05-05,0.039,62,1005.2,5,4
2021-05-06,0.039,59,1004.7,5,5
2021-05-07,0.049,66,1002.5,5,6
2021-05-08,0.04,59,1005.2,5,7
2021-05-09,0.037,51,1002.4,5,1
2021-05-10,0.044,59,1005.6,5,2
2021-05-11,0.038,58,1011.7,5,3
2021-05-12,0.041,62,1014.2,5,4
2021-05-13,0.046,66,1014.2,5,5
2021-05-14,0.056,69,1012,5,6
2021-05-15,0.052,70,1009,5,7
2021-05-16,0.052,73,1007,5,1
2021-05-17,0.038,73,1004.9,5,2
2021-05-18,0.046,75,1006.7,5,3
2021-05-19,0.041,75,1008.8,5,4
2021-05-20,0.049,82,1009.2,5,5
2021-05-21,0.056,82,1013.2,5,6
2021-05-22,0.056,83,1013.7,5,7
2021-05-23,0.054,85,1009.2,5,1
2021-05-24,0.061,86,1006.4,5,2
2021-05-25,0.05,85,1003.9,5,3
2021-05-26,0.042,80,1002.7,5,4
2021-05-27,0.047,82,1002.8,5,5
2021-05-28,0.026,67,999.3,5,6
2021-05-29,0.041,62,1006.9,5,7
2021-05-30,0.051,69,1010.2,5,1
2021-05-31,0.054,72,1010.6,5,2
2021-06-01,0.05,73,1007.4,6,3
2021-06-02,0.029,67,1002.5,6,4
2021-06-03,0.058,77,998.6,6,5
2021-06-04,0.064,83,1001.4,6,6
2021-06-05,NA,84,1001.1,6,7
2021-06-06,NA,81,1000.9,6,1
2021-06-07,0.032,81,999.9,6,2
2021-06-08,0.032,75,1002.3,6,3
2021-06-09,0.035,81,1000.7,6,4
2021-06-10,0.038,84,998.3,6,5
2021-06-11,0.045,89,995,6,6
2021-06-12,0.053,91,995.4,6,7
2021-06-13,0.062,86,998.8,6,1
2021-06-14,0.065,87,1000.4,6,2
2021-06-15,0.047,82,1002.6,6,3
2021-06-16,0.047,82,1003.3,6,4
2021-06-17,0.062,86,1001.7,6,5
2021-06-18,0.062,93,997.5,6,6
2021-06-19,0.046,82,999.7,6,7
2021-06-20,0.047,87,992.9,6,1
2021-06-21,0.036,80,997.8,6,2
2021-06-22,0.04,72,1002.3,6,3
2021-06-23,0.052,78,1004.8,6,4
2021-06-24,0.046,80,1003,6,5
2021-06-25,0.032,81,1000,6,6
2021-06-26,0.035,85,998.2,6,7
2021-06-27,0.031,86,1002.7,6,1
2021-06-28,0.03,88,1005.8,6,2
2021-06-29,0.032,89,1006.4,6,3
2021-06-30,0.035,82,1004.4,6,4
2021-07-01,0.04,81,1000.4,7,5
2021-07-02,0.034,76,1002,7,6
2021-07-03,0.041,77,1002.9,7,7
2021-07-04,0.039,83,1000.7,7,1
2021-07-05,0.042,85,1002.6,7,2
2021-07-06,0.043,86,1003.7,7,3
2021-07-07,0.046,85,1000.4,7,4
2021-07-08,0.041,84,999.3,7,5
2021-07-09,0.032,76,1002.6,7,6
2021-07-10,0.043,76,1000.4,7,7
2021-07-11,0.04,77,997.7,7,1
2021-07-12,0.038,80,999.9,7,2
2021-07-13,0.035,78,1005.1,7,3
2021-07-14,0.037,83,1006.7,7,4
2021-07-15,0.031,85,1002.8,7,5
2021-07-16,0.025,75,1000.4,7,6
2021-07-17,0.041,79,1004.3,7,7
2021-07-18,0.038,82,1005.5,7,1
2021-07-19,0.037,82,1005.3,7,2
2021-07-20,0.053,83,1003.3,7,3
2021-07-21,0.049,83,1004.8,7,4
2021-07-22,0.041,81,1007,7,5
2021-07-23,0.047,84,1005.9,7,6
2021-07-24,0.041,86,1001.5,7,7
2021-07-25,0.034,84,999.3,7,1
2021-07-26,0.05,87,1001.1,7,2
2021-07-27,0.048,86,1002.6,7,3
2021-07-28,0.043,85,1003,7,4
2021-07-29,0.028,86,1000.5,7,5
2021-07-30,0.034,79,1003.7,7,6
2021-07-31,0.03,67,1002.8,7,7
2021-08-01,0.035,79,1003.7,8,1
2021-08-02,0.036,77,1005.3,8,2
2021-08-03,0.041,78,1003.5,8,3
2021-08-04,0.046,80,1004.6,8,4
2021-08-05,0.05,80,1005,8,5
2021-08-06,0.043,81,1003.7,8,6
2021-08-07,0.04,84,1001.9,8,7
2021-08-08,0.037,85,1000,8,1
2021-08-09,0.034,81,1000.3,8,2
2021-08-10,0.027,88,1000.8,8,3
2021-08-11,0.03,88,1000.9,8,4
2021-08-12,0.029,88,1002.2,8,5
2021-08-13,0.037,83,1004.5,8,6
2021-08-14,0.041,81,1007.8,8,7
2021-08-15,0.035,78,1006.1,8,1
2021-08-16,0.038,81,1002.1,8,2
2021-08-17,0.036,83,1000.9,8,3
2021-08-18,0.035,84,1003.2,8,4
2021-08-19,0.041,85,1003.3,8,5
2021-08-20,0.04,86,999.9,8,6
2021-08-21,0.031,84,997.1,8,7
2021-08-22,0.034,88,999.6,8,1
2021-08-23,0.043,88,1000.9,8,2
2021-08-24,0.039,90,1003.2,8,3
2021-08-25,0.039,90,1004,8,4
2021-08-26,0.044,89,1004.8,8,5
2021-08-27,0.044,91,1003.3,8,6
2021-08-28,0.031,89,1005.4,8,7
2021-08-29,0.03,89,1004.1,8,1
2021-08-30,0.027,82,1000.4,8,2
2021-08-31,0.038,83,995.9,8,3
2021-09-01,0.041,80,1000,9,4
2021-09-02,0.04,78,1003.7,9,5
2021-09-03,0.044,77,1003.9,9,6
2021-09-04,0.023,72,999.9,9,7
2021-09-05,0.038,79,999.8,9,1
2021-09-06,0.045,85,1000.5,9,2
2021-09-07,0.052,87,998.6,9,3
2021-09-08,0.04,80,997.2,9,4
2021-09-09,0.034,77,1002.1,9,5
2021-09-10,0.037,80,1004.6,9,6
2021-09-11,0.048,86,1002.2,9,7
2021-09-12,0.047,88,1004.6,9,1
2021-09-13,0.042,88,1005.1,9,2
2021-09-14,0.033,89,999.5,9,3
2021-09-15,0.038,78,1001.6,9,4
2021-09-16,0.045,84,1003.3,9,5
2021-09-17,0.039,87,1004.3,9,6
2021-09-18,0.039,89,1005.2,9,7
2021-09-19,0.039,87,1004,9,1
2021-09-20,0.026,85,999.9,9,2
2021-09-21,0.022,72,1002.5,9,3
2021-09-22,0.021,58,1002.4,9,4
2021-09-23,0.033,68,1001.1,9,5
2021-09-24,0.043,77,1003.2,9,6
2021-09-25,0.038,71,1003.7,9,7
2021-09-26,0.042,80,1003.6,9,1
2021-09-27,0.057,88,999.1,9,2
2021-09-28,0.056,87,998.9,9,3
2021-09-29,0.055,88,1002.4,9,4
2021-09-30,0.054,87,1005.4,9,5
2021-10-01,0.049,84,1006.8,10,6
2021-10-02,0.022,74,1004,10,7
2021-10-03,0.034,76,997.6,10,1
2021-10-04,0.032,78,1001.7,10,2
2021-10-05,0.035,77,1004.9,10,3
2021-10-06,0.024,74,1005.5,10,4
2021-10-07,0.025,72,1004.1,10,5
2021-10-08,0.039,78,1002,10,6
2021-10-09,0.049,83,1000,10,7
2021-10-10,0.05,87,996.1,10,1
2021-10-11,0.04,81,994.1,10,2
2021-10-12,0.036,74,1000.2,10,3
2021-10-13,0.028,73,1000,10,4
2021-10-14,0.029,79,998.3,10,5
2021-10-15,0.024,67,999.1,10,6
2021-10-16,0.033,59,1005.9,10,7
2021-10-17,0.036,68,1006.7,10,1
